name;region;country;lat;lon;tz_id;localtime;last_updated;temp_c;temp_f;is_day;condition_text;condition_code;wind_mph;wind_kph;wind_degree;pressure_in;precip_in;humidity;cloud;feelslike_c;uv;gust_mph;gust_kph
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 08:45;21/05/2024 08:45;30.0;86.0;1;Partly cloudy;1003;5.6;9.0;100;29.83;0.0;70;25;37.6;8.0;10.1;16.2
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 08:44;21/05/2024 08:30;19.7;67.4;1;Patchy rain nearby;1063;2.5;4.0;176;29.89;0.0;85;85;19.7;5.0;4.3;6.8
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 08:45;21/05/2024 08:45;30.0;86.0;1;Partly cloudy;1003;5.6;9.0;100;29.83;0.0;70;25;37.6;8.0;10.1;16.2
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 08:47;21/05/2024 08:45;19.7;67.4;1;Patchy rain nearby;1063;2.5;4.0;176;29.89;0.0;85;85;19.7;5.0;4.3;6.8
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 08:48;21/05/2024 08:45;30.0;86.0;1;Partly cloudy;1003;5.6;9.0;100;29.83;0.0;70;25;37.6;8.0;10.1;16.2
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 08:47;21/05/2024 08:45;19.7;67.4;1;Patchy rain nearby;1063;2.5;4.0;176;29.89;0.0;85;85;19.7;5.0;4.3;6.8
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 08:48;21/05/2024 08:45;30.0;86.0;1;Partly cloudy;1003;5.6;9.0;100;29.83;0.0;70;25;37.6;8.0;10.1;16.2
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 08:47;21/05/2024 08:45;19.7;67.4;1;Patchy rain nearby;1063;2.5;4.0;176;29.89;0.0;85;85;19.7;5.0;4.3;6.8
Surabaya;East Java;Indonesia;-7.25;112.75;Asia/Jakarta;21/05/2024 08:48;21/05/2024 08:45;30.0;86.0;1;Partly cloudy;1003;5.6;9.0;100;29.83;0.0;70;25;37.6;8.0;10.1;16.2
Malang;East Java;Indonesia;-8.0;114.14;Asia/Jakarta;21/05/2024 08:47;21/05/2024 08:45;19.7;67.4;1;Patchy rain nearby;1063;2.5;4.0;176;29.89;0.0;85;85;19.7;5.0;4.3;6.8
